Mass (Da),Intensity (mV),Intensity (%),Area (mV),Area (%),Resolution,S / N
2030.82,719.53,0,388011.68,0,39,16
2106.25,135.59,0,6712.01,0,19,2
2158.98,133.54,0,4516,0,334,2
2194.41,113.21,0,2262.15,0,366,2
2430.6,329.15,0,20137,0,328,7
2453.03,134.09,0,8432.85,0,201,2
2916.07,118.94,0,4055.67,0,306,2
3121.65,105.48,0,2386.44,0,241,1
3818.52,111.18,0,3121.81,0,351,2
4069.37,148.97,0,24132.35,0,130,3
5663.7,157.84,0,25890.84,0,135,3
6092.5,392.63,0,70288.41,0,190,8
6893.82,109.49,0,7221.65,0,184,2
